2th_deg;intensity
2.214732;48.53596
2.216711;48.18111
2.218689;47.90892
2.220667;47.58355
2.222646;47.20499
2.224624;46.90821
2.226602;46.64525
2.228581;46.40591
2.230559;46.01995
2.232537;45.49542
2.234516;45.15547
2.236494;44.83163
2.238472;44.5983
2.24045;44.31518
2.242429;43.8414
2.244407;43.40004
2.246385;43.24789
2.248364;43.08655
2.250342;42.89772
2.25232;42.72342
2.254299;42.42717
2.256277;42.00551
2.258255;41.88138
2.260234;41.64478
2.262212;41.44039
2.26419;41.2482
2.266169;40.93723
2.268147;40.60564
2.270125;40.24818
2.272104;40.08695
2.274082;39.8944
2.27606;39.72642
2.278039;39.37252
2.280017;38.98633
2.281995;38.6805
2.283974;38.34658
2.285952;38.03331
2.28793;37.87994
2.289909;37.8077
2.291887;37.50107
2.293865;37.10869
2.295844;36.84164
2.297822;36.61249
2.2998;36.22937
2.301778;36.02377
2.303757;35.89254
2.305735;35.6521
2.307713;35.27297
2.309692;35.01099
2.31167;34.66359
2.313648;34.54882
2.315627;34.35535
2.317605;34.43727
2.319583;34.25463
2.321562;33.8772
2.32354;33.45827
2.325518;33.1694
2.327497;32.92245
2.329475;32.7565
2.331453;32.6935
2.333432;32.49389
2.33541;32.14667
2.337388;32.08485
2.339367;32.01184
2.341345;32.02188
2.343323;31.7318
2.345302;31.34631
2.34728;30.88437
2.349258;30.6908
2.351237;30.65357
2.353215;30.47415
2.355193;30.34677
2.357172;30.17582
2.35915;29.99614
2.361128;29.68152
2.363106;29.30961
2.365085;29.07707
2.367063;29.03205
2.369041;29.08299
2.37102;28.93135
2.372998;28.63871
2.374976;28.47228
2.376955;28.32434
2.378933;28.117
2.380911;27.86119
2.38289;27.72725
2.384868;27.72019
2.386846;27.62601
2.388825;27.38469
2.390803;27.2372
2.392781;27.33273
2.39476;27.32926
2.396738;27.08621
2.398716;26.73429
2.400695;26.62634
2.402673;26.45255
2.404651;26.35212
2.40663;26.27187
2.408608;26.15901
2.410586;25.93039
2.412565;25.80198
2.414543;25.71128
2.416521;25.52656
2.4185;25.39561
2.420478;25.11129
2.422456;25.00439
2.424434;24.80769
2.426413;24.66536
2.428391;24.54573
2.430369;24.53963
2.432348;24.51841
2.434326;24.43089
2.436304;24.4195
2.438283;24.36619
2.440261;24.07489
2.442239;24.00839
2.444218;23.92004
2.446196;23.81848
2.448174;23.50506
2.450153;23.32163
2.452131;23.35131
2.454109;23.40746
2.456088;23.34297
2.458066;23.06423
2.460044;22.90346
2.462023;22.78007
2.464001;22.87126
2.465979;22.79483
2.467958;22.75534
2.469936;22.71706
2.471914;22.50067
2.473893;22.26697
2.475871;22.19015
2.477849;22.16962
2.479828;22.23308
2.481806;22.14363
2.483784;22.02404
2.485762;21.79344
2.487741;21.74541
2.489719;21.73468
2.491697;21.7392
2.493676;21.71279
2.495654;21.68785
2.497632;21.55547
2.499611;21.25406
2.501589;21.09287
